rowid,studyid,site,year,factormanipulated,secondfactor,tempman,phenoman,phenophaseman,labfield,treatment,treatunits,treatchangeC,treatchangeday,genus,species,genus2,species2,phenophase,phenounits,phenovalue,phenovarunit,phenovarvalue,n,fitnesscomp,fitnessunit,stdfitness,fitnessvalue,fitnessvarunit,fitnessvarvalue,fitnesstype,notes
106,JEH001,"Wytham, UK",2006,temperature,unshaded,2,NA,Larval development time,field,1,C,2.06,9.6039,Cotesia,bignellii,NA,NA,parasitoid hatching,day,NA,NA,NA,8,parasitoid development time,days,,22.2086,SE,3.6911,2,difference between host availability and parasitoid hatching; temperature difference: grand mean- treatment mean
107,JEH001,"Wytham, UK",2006,temperature,shaded,3,NA,Larval development time,field,1,C,1.74,2.15496,Cotesia,bignellii,NA,NA,parasitoid hatching,day,NA,NA,NA,7,parasitoid development time,days,,27.3006,SE,2.9679,2,difference between host availability and parasitoid hatching; temperature difference: grand mean- treatment mean
108,JMA002,"Manaus, Brazil",NA,same species,NA,NA,2,"tadpole ""arrival""",field,0,day,NA,0,Epipedobates,femoralis,NA,NA,"tadpole ""arrival""",day,0,NA,NA,4,survival,individuals alive,,9.67533,SE,0.34627,1,control=synchronous introduction. mesocosm in field. Could calculate proportion survived if that's more useful than the data reported.  
109,JMA002,"Manaus, Brazil",NA,same species,NA,NA,2,"tadpole ""arrival""",field,0,day,NA,0,Phyllomedusa,tomopterna,NA,NA,"tadpole ""arrival""",day,0,NA,NA,4,survival,individuals alive,,9,SE,0.52174,1,control=synchronous introduction. mesocosm in field. Could calculate proportion survived if that's more useful than the data reported.  
112,JMA002,"Manaus, Brazil",NA,same species,NA,NA,2,"tadpole ""arrival""",field,0,day,NA,0,Epipedobates,femoralis,NA,NA,"tadpole ""arrival""",day,0,NA,NA,4,average daily growth rate,ml displaced/day,,0.00212111,SE,0.00020689,2,mesocosm in field. 
113,JMA002,"Manaus, Brazil",NA,same species,NA,NA,2,"tadpole ""arrival""",field,0,day,NA,0,Phyllomedusa,tomopterna,NA,NA,"tadpole ""arrival""",day,0,NA,NA,4,average daily growth rate,ml displaced/day,,0.00329314,SE,0.00096565,2,mesocosm in field. 
116,JMA002,"Manaus, Brazil",NA,other species,NA,NA,2,"tadpole ""arrival""",field,0,day,NA,0,Osteocephalus,taurinus,Epipedobates,femoralis,"tadpole ""arrival""",day,0,NA,NA,4,survival,individuals alive,,141.979,SE,13.502,1,mesocosm in field. Could calculate proportion survived if that's more useful than the data reported.  In response to E. femoralis
118,JMA002,"Manaus, Brazil",NA,other species,NA,NA,2,"tadpole ""arrival""",field,0,day,NA,0,Osteocephalus,taurinus,Phyllomedusa,tomopterna,"tadpole ""arrival""",day,0,NA,NA,4,survival,individuals alive,,145.977,SE,8.474,1,mesocosm in field. Could calculate proportion survived if that's more useful than the data reported.  In response to P. tomopterna
120,JMA002,"Manaus, Brazil",NA,other species,NA,NA,2,"tadpole ""arrival""",field,0,day,NA,0,Osteocephalus,taurinus,Epipedobates,femoralis,"tadpole ""arrival""",day,0,NA,NA,4,total growth,ml displaced,,0.0173323,SE,0.0008403,2,mesocosm in field. In response to E. femoralis
122,JMA002,"Manaus, Brazil",NA,other species,NA,NA,2,"tadpole ""arrival""",field,0,day,NA,0,Osteocephalus,taurinus,Phyllomedusa,tomopterna,"tadpole ""arrival""",day,0,NA,NA,4,total growth,ml displaced,,0.0211297,SE,0.001046,2,mesocosm in field. In response to P. tomopterna
110,JMA002,"Manaus, Brazil",NA,same species,NA,NA,2,"tadpole ""arrival""",field,1,day,NA,3,Epipedobates,femoralis,NA,NA,"tadpole ""arrival""",day,3,NA,NA,4,survival,individuals alive,,9.43748,SE,0.30302,1,control=synchronous introduction. mesocosm in field. Could calculate proportion survived if that's more useful than the data reported.  
111,JMA002,"Manaus, Brazil",NA,same species,NA,NA,2,"tadpole ""arrival""",field,1,day,NA,3,Phyllomedusa,tomopterna,NA,NA,"tadpole ""arrival""",day,3,NA,NA,4,survival,individuals alive,,6.04348,SE,0.56522,1,control=synchronous introduction. mesocosm in field. Could calculate proportion survived if that's more useful than the data reported.  
114,JMA002,"Manaus, Brazil",NA,same species,NA,NA,2,"tadpole ""arrival""",field,1,day,NA,3,Epipedobates,femoralis,NA,NA,"tadpole ""arrival""",day,3,NA,NA,4,average daily growth rate,ml displaced/day,,0.00200033,SE,0.00058638,2,mesocosm in field. 
115,JMA002,"Manaus, Brazil",NA,same species,NA,NA,2,"tadpole ""arrival""",field,1,day,NA,3,Phyllomedusa,tomopterna,NA,NA,"tadpole ""arrival""",day,3,NA,NA,4,average daily growth rate,ml displaced/day,,0.00286231,SE,0.00093099,2,mesocosm in field. 
117,JMA002,"Manaus, Brazil",NA,other species,NA,NA,2,"tadpole ""arrival""",field,1,day,NA,3,Osteocephalus,taurinus,Epipedobates,femoralis,"tadpole ""arrival""",day,3,NA,NA,4,survival,individuals alive,,122.99,SE,13.506,1,mesocosm in field. Could calculate proportion survived if that's more useful than the data reported.  In response to E. femoralis
119,JMA002,"Manaus, Brazil",NA,other species,NA,NA,2,"tadpole ""arrival""",field,1,day,NA,3,Osteocephalus,taurinus,Phyllomedusa,tomopterna,"tadpole ""arrival""",day,3,NA,NA,4,survival,individuals alive,,151.483,SE,20.34,1,mesocosm in field. Could calculate proportion survived if that's more useful than the data reported.  In response to P. tomopterna
121,JMA002,"Manaus, Brazil",NA,other species,NA,NA,2,"tadpole ""arrival""",field,1,day,NA,3,Osteocephalus,taurinus,Epipedobates,femoralis,"tadpole ""arrival""",day,3,NA,NA,4,total growth,ml displaced,,0.0194244,SE,0.0006302,2,mesocosm in field. In response to E. femoralis
123,JMA002,"Manaus, Brazil",NA,other species,NA,NA,2,"tadpole ""arrival""",field,1,day,NA,3,Osteocephalus,taurinus,Phyllomedusa,tomopterna,"tadpole ""arrival""",day,3,NA,NA,4,total growth,ml displaced,,0.0301255,SE,0.0037657,2,mesocosm in field. In response to P. tomopterna
133,KJB001,Hokkaido campus,1989,consumer,NA,NA,1,transfer of new larvae,field,1,day,NA,-12,Tetraneura,spp.,NA,NA,emergence,day,108,NA,NA,104,abortion,percentage,,1.341688,NA,NA,1,"took first point, point that matched arrow and last point from fig 6"
134,KJB001,Hokkaido campus,1989,consumer,NA,NA,1,transfer of new larvae,field,1,day,NA,-12,Tetraneura,spp.,NA,NA,emergence,day,108,NA,NA,104,expectedfecundity,number,,1.924913,NA,NA,3,"took first point, point that matched arrow and last point from fig 7"
135,KJB001,Hokkaido campus,1989,consumer,NA,NA,1,transfer of new larvae,field,1,day,NA,-12,Tetraneura,spp.,NA,NA,emergence,day,108,NA,NA,104,gallsperlarveae,percentage,,9.139809,NA,NA,2,"took first point, point that matched arrow and last point from fig 8"
136,KJB001,Hokkaido campus,1989,consumer,NA,NA,1,transfer of new larvae,field,1,day,NA,-12,Tetraneura,spp.,NA,NA,emergence,day,108,NA,NA,104,fecundity,number,,21.373957,NA,NA,3,"took first point, point that matched arrow and last point from fig 9"
125,KJB001,Hokkaido campus,1989,consumer,NA,NA,0,transfer of new larvae,field,2,day,NA,0,Tetraneura,spp.,NA,NA,emergence,day,120,NA,NA,104,abortion,percentage,,4.336877,NA,NA,1,"took first point, point that matched arrow and last point from fig 10"
126,KJB001,Hokkaido campus,1989,consumer,NA,NA,0,transfer of new larvae,field,2,day,NA,0,Tetraneura,spp.,NA,NA,emergence,day,120,NA,NA,104,expectedfecundity,number,,5.996001,NA,NA,3,"took first point, point that matched arrow and last point from fig 11"
127,KJB001,Hokkaido campus,1989,consumer,NA,NA,0,transfer of new larvae,field,2,day,NA,0,Tetraneura,spp.,NA,NA,emergence,day,120,NA,NA,104,fecundity,number,,17.167237,NA,NA,3,"took first point, point that matched arrow and last point from fig 12"
128,KJB001,Hokkaido campus,1989,consumer,NA,NA,0,transfer of new larvae,field,2,day,NA,0,Tetraneura,spp.,NA,NA,emergence,day,120,NA,NA,104,gallsperlarveae,percentage,,34.980843,NA,NA,2,"took first point, point that matched arrow and last point from fig 13"
129,KJB001,Hokkaido campus,1989,consumer,NA,NA,2,transfer of new larvae,field,3,day,NA,14,Tetraneura,spp.,NA,NA,emergence,day,134,NA,NA,104,expectedfecundity,number,,1.549994,NA,NA,3,"took first point, point that matched arrow and last point from fig 14"
130,KJB001,Hokkaido campus,1989,consumer,NA,NA,2,transfer of new larvae,field,3,day,NA,14,Tetraneura,spp.,NA,NA,emergence,day,134,NA,NA,104,gallsperlarveae,percentage,,10.129216,NA,NA,2,"took first point, point that matched arrow and last point from fig 15"
131,KJB001,Hokkaido campus,1989,consumer,NA,NA,2,transfer of new larvae,field,3,day,NA,14,Tetraneura,spp.,NA,NA,emergence,day,134,NA,NA,104,fecundity,number,,16.120137,NA,NA,3,"took first point, point that matched arrow and last point from fig 16"
132,KJB001,Hokkaido campus,1989,consumer,NA,NA,2,transfer of new larvae,field,3,day,NA,14,Tetraneura,spp.,NA,NA,emergence,day,134,NA,NA,104,abortion,percentage,,23.50003,NA,NA,1,"took first point, point that matched arrow and last point from fig 17"
124,KJB001,Hokkaido campus,1989,consumer,NA,NA,0,transfer of new larvae,field,NA,day,NA,0,Ulmus,davidiana,NA,NA,budburst ,day,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,SET006,"Wytham wood, Oxford, UK",1994,consumer,NA,2,1,fledgling development,field,0,day,NA,0,Parus,major,NA,NA,fledgling development,NA,NA,NA,NA,4,fledgling mass at day 13,g,NA,11.17,0.08,NA,3,delay development of eggs by removing from nest for seven days then returning
139,SET006,"Wytham wood, Oxford, UK",1994,temperature,NA,2,1,egg development,field,0,C,0,-9.3,Operophtera,brumata,NA,NA,egg darkening,day,29.4,SE,0.8,4,NA,NA,NA,NA,NA,NA,NA,hk: from text: darkening-budburst
141,SET006,"Wytham wood, Oxford, UK",1994,temperature,NA,2,1,budburst,field,0,C,0,0,Quercus,robur,NA,NA,budburst,day,38.7,NA,1.6,4,NA,NA,NA,NA,NA,NA,NA,NA
138,SET006,"Wytham wood, Oxford, UK",1994,consumer,NA,2,1,fledgling development,field,1,day,NA,7,Parus,major,NA,NA,fledgling development,NA,NA,NA,NA,4,fledgling mass at day 13,g,0.090832423,9.97,0.49,NA,2,delay development of eggs by removing from nest for seven days then returning
140,SET006,"Wytham wood, Oxford, UK",1994,temperature,NA,2,1,egg development,field,1,C,3,-7.6,Operophtera,brumata,NA,NA,egg darkening,day,18.7,SE,0.8,4,NA,NA,NA,NA,NA,NA,NA,hk: from text: darkening-budburst
142,SET006,"Wytham wood, Oxford, UK",1994,temperature,NA,2,1,budburst,field,1,C,3,0,Quercus,robur,NA,NA,budburst  ,day,26.3,NA,1.6,4,NA,NA,NA,NA,NA,NA,NA,NA
